danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,duration_ms,time_signature,track_name,artist_name,release_date,release_date_num,track_popularity,album_name,artist_id,total_tracks,track_number,tracks_external_id
0.60,0.84,6.00,-3.97,0.00,0.03,0.12,0.00,0.08,0.46,96.99,5dNk0awP6tr2rckZHQYlLu,218129,3,Разлука,Руслан Агоев,2019-10-21,43759,12,Разлука,7EBrib4MA5hCJBaJvV3lir,1,1,FR96X1987067
0.62,0.55,0.00,-6.73,1.00,0.04,0.00,0.00,0.14,0.20,80.01,2kYkjVErv8F8hRWtxre2e3,144000,4,Связь поколений,Адлер Коцба,2019-10-17,43755,12,Связь поколений,4ajcoxNwqBPVy7NGDojgZo,1,1,FR96X1978553
0.59,0.70,11.00,-5.82,0.00,0.04,0.49,0.00,0.48,0.37,139.94,60CrwMcslMf2cq4aqQg8ke,259880,4,Г1арг1улеш,Разные исполнители,2019-10-16,43754,0,Город мира - наш Грозный,0LyfQWJT6nXafLPZqxe9Of,37,22,AEA0Q1990018
0.36,0.53,4.00,-5.57,0.00,0.03,0.58,0.00,0.12,0.32,73.43,3gt7FgsAW4EOZn1RtxtHMY,250202,4,Хочу вернуть,Расим Ибрагимов,2019-10-16,43754,0,Хочу вернуть,1u8Zn5pGPze5IUmu0hMXu9,1,1,FR96X1977468
0.61,0.95,7.00,-4.32,0.00,0.06,0.25,0.00,0.31,0.81,105.96,23NdUSjgQQkcbNxknEM617,207170,4,Старокувинский,Султан Лагучев,2019-10-16,43754,0,Старокувинский,4dsS37xSk8n0zdx7wRALNl,1,1,FR96X1978155
0.70,0.99,7.00,-3.21,1.00,0.18,0.33,0.00,0.28,0.65,133.94,2v8NG5rupMJcDSoW2qNEel,220603,4,Чергази,Астемир Апанасов,2019-10-15,43753,7,Чергази,2UxPhPElyhckjpncZ8YgRy,1,1,FR96X1989966
0.63,0.94,5.00,-2.67,0.00,0.07,0.73,0.00,0.21,0.90,77.98,7i2FBTnIhh3HbyPH0uTZ4m,225059,4,Чечня,Шарпуди Исмаилов,2019-10-15,43753,3,Чечня,2gQttYHiMpejeS5LPv8et3,1,1,GBLPF0242824
0.75,0.82,10.00,-4.10,0.00,0.09,0.03,0.00,0.49,0.78,90.03,40aUm8N7vWtuepmEpoot53,200500,4,Сердце как лёд,Рейсан Магомедкеримов,2019-10-14,43752,23,Сердце как лёд,7gk8pVJvMK6zhWFlsgx3Xn,1,1,FR96X1978152
0.63,0.93,8.00,-5.35,1.00,0.05,0.00,0.00,0.46,0.37,127.96,6mDRzZQF8ICX92vg1a3l96,255996,4,Дорога,Абакар Курбанадамов,2019-10-09,43747,0,Дорога,1mCzy19xjMtAbOGppHH1ig,1,1,FR96X1973762
0.44,0.90,1.00,-4.13,0.00,0.04,0.22,0.00,0.12,0.65,120.00,4kDFXnDdvxj1yKhW1tqR72,213760,4,Ты со мной,Fariz Fortuna,2019-10-04,43742,0,Ты со мной,6sUWVCV4XvzEPOxxWSeouC,16,1,QM7281998863
0.69,0.47,0.00,-12.05,1.00,0.03,0.15,0.03,0.03,0.34,120.02,00fUbdoH51icgTkh9BoVua,208000,4,Душа,RUSTAM & LIFE ELEMENTS,2019-10-04,43742,0,Душа,7bf6QOlqlNfW1Gj7CJyuzW,1,1,FR96X1969891
0.58,0.70,5.00,-5.43,0.00,0.10,0.87,0.00,0.14,0.52,150.03,7xljgpqIRWEMsy2RMRcpiJ,196362,4,Каприз,Мурад Байкаев,2019-10-04,43742,2,Каприз,0wGOiai52snHglJt8NZRrT,1,1,RUA3R1926222
0.69,0.96,0.00,-4.07,1.00,0.31,0.35,0.00,0.06,0.90,121.06,6oJmdcC5o56IVj0OsyqikH,273320,4,Вайнахи,Разные исполнители,2019-09-27,43735,0,Чеченские песни (Часть 4),0LyfQWJT6nXafLPZqxe9Of,27,12,AEA0Q1986989
0.82,0.96,0.00,-3.37,1.00,0.26,0.04,0.18,0.12,0.78,120.00,0HzslBqgyTYTPFaYyuVeOL,574329,4,Лезгинка,Разные исполнители,2019-09-27,43735,1,Чеченские песни (Часть 4),0LyfQWJT6nXafLPZqxe9Of,27,19,AEA0Q1986996
0.58,0.98,11.00,-4.63,0.00,0.09,0.10,0.00,0.30,0.84,118.00,7m2zMUqiNywAYWf5jnSdWc,259392,4,Зажигай,Абакар Курбанадамов,2019-09-26,43734,0,Зажигай,1mCzy19xjMtAbOGppHH1ig,10,1,FR96X1949125
0.75,0.78,6.00,-5.70,1.00,0.08,0.03,0.00,0.06,0.75,99.97,1Gfvl4VpZ8Gc8Zgm3nJIu0,278291,4,Забыть тебя,Вячеслав Евтых,2019-09-26,43734,1,Забыть тебя,0RElJSh6DbeB0M1VKRuqVS,1,1,FR96X1949050
0.71,0.98,6.00,-3.20,0.00,0.08,0.09,0.00,0.06,0.67,114.92,1mYYw9eA26ZgWn1VdyBRi5,244207,4,Без твоей любви,Малика Кавраева,2019-09-24,43732,1,Без твоей любви,0moQUC9J7XX48b2BgX3xtr,1,1,GBLPF0241220
0.72,0.96,7.00,-5.81,1.00,0.07,0.06,0.92,0.05,0.85,123.22,3yieMECLyYo1Ues4tt2HHH,399583,4,Лезгинка Рани,Разные исполнители,2019-09-24,43732,0,Чеченские песни (Часть 3),0LyfQWJT6nXafLPZqxe9Of,20,16,AEA0Q1987109
0.76,0.75,7.00,-5.80,0.00,0.06,0.03,0.00,0.29,0.71,122.07,2YlO99nlpTana5cdR019Tv,173989,4,Королева,Farzani,2019-09-18,43726,0,Королева,2SO3h2zBinAgAcIwNg76kR,1,1,FR96X1937207
0.82,0.65,5.00,-9.86,0.00,0.04,0.30,0.80,0.07,0.95,104.00,7wjllaLEsdlVeZeUTiuH6g,331247,4,Моя родная,Рустам Абреков,2019-09-16,43724,0,Ясмина,4TQYyvNsnn1o0ENVM4StW1,17,8,AEA0Q1968353
0.64,0.95,10.00,-4.70,0.00,0.05,0.09,0.02,0.04,0.81,115.00,5PPQlOSxmFfsfUNfFaDREw,269949,4,Т1аьхьа хир ду,Разные исполнители,2019-09-16,43724,0,Танцуй Чечня,0LyfQWJT6nXafLPZqxe9Of,16,2,AEA0Q1990590
0.74,0.93,11.00,-3.67,0.00,0.07,0.10,0.00,0.14,0.68,115.00,4dwfOLmAR9K33Bx2bglrbz,236931,4,Звенит звонок,Братья Хубиевы,2019-09-12,43720,2,Звенит звонок,2YzfZUN1x25oPiwZ0Eblwy,1,1,FR96X1930345
0.78,0.56,9.00,-9.49,0.00,0.05,0.27,0.00,0.10,0.19,129.98,7cJeiLIzOVKMBX7BpPmKbU,198649,4,Зову,ЭGO,2019-09-12,43720,37,Зову,6z0RqMOlBhJ1zgjcN5bw6d,1,1,FR96X1930297
0.64,0.95,0.00,-2.86,1.00,0.08,0.58,0.00,0.30,0.89,82.97,4pgYeyoWDj7044q88JfNvC,251077,4,Еза алал хьай,Ризавди Исмаилов,2019-09-09,43717,2,Вайнахская музыка,49zJvztxHSKOq9iogruH5b,14,14,GBLPF0239653
0.68,0.94,0.00,-3.48,0.00,0.06,0.79,0.00,0.10,0.61,90.04,2yBZUNLZeJk3iIuKN3Yx1r,229616,4,Вайнахов край,Ризавди Исмаилов,2019-09-09,43717,5,Вайнахская музыка,49zJvztxHSKOq9iogruH5b,14,6,GBLPF0216401
0.53,0.71,5.00,-9.40,0.00,0.07,0.14,0.00,0.17,0.30,158.31,0nANZVYj8L9FxTWWZ51xGu,236962,4,Dagestan (English Version) [Remix],Sabine Kors,2019-09-06,43714,20,Dagestan (English Version) [Remix],1mMWW9EPf4RbcJv78HfndW,1,1,ushm91903250
0.66,0.64,3.00,-7.54,0.00,0.05,0.26,0.00,0.09,0.36,87.98,3euf5eHOW7nBOljPvbzu2m,182205,4,Baby I Love You,Zamin Amur,2019-09-05,43713,0,Baby I Love You,6vhIGXCfVolrZ1hsiTMHLs,1,1,FR96X1926650
0.71,0.94,2.00,-4.43,1.00,0.06,0.02,0.00,0.14,0.72,105.02,4aXOdP5iMLF8Y1BbS9MnV0,214924,4,Хьомениг,Разные исполнители,2019-09-04,43712,6,Чеченский сборник 2019. Часть 5,0LyfQWJT6nXafLPZqxe9Of,35,16,GBLPF0239379
0.45,0.82,10.00,-3.71,0.00,0.04,0.80,0.00,0.15,0.46,109.93,1nFTCwSKbex13GhXFKuVBU,270590,4,Назма,Ризавди Исмаилов,2019-09-04,43712,0,Назма,49zJvztxHSKOq9iogruH5b,1,1,GBLPF0239419
0.74,0.79,9.00,-6.18,0.00,0.07,0.29,0.00,0.56,0.61,124.04,1gSkjVemE6DhF85zDHdTYA,260806,4,Разбила сердце,Эльдар Далгатов,2019-09-02,43710,13,Лучшее,6o620DGfd3Xj7rDUQH91tl,20,1,QZHZ31930753
0.86,0.57,6.00,-9.12,0.00,0.05,0.00,0.00,0.17,0.97,100.01,5PmEuFcDaqFRVjTkacW1GO,227996,4,Полюбил,Эльдар Далгатов,2019-09-02,43710,10,Лучшее,6o620DGfd3Xj7rDUQH91tl,20,2,QZHZ31930754
0.69,0.81,7.00,-5.55,0.00,0.04,0.31,0.00,0.18,0.68,125.03,5hLJZKO0e4tjNvNfiNTwYa,244741,4,Карусели,Ара Мартиросян,2019-08-30,43707,12,Карусели,0OzU850v3KEksmQkPX5ob2,1,1,QM7281935440
0.66,0.97,7.00,-2.77,1.00,0.20,0.02,0.00,0.27,0.83,123.01,6SpfToUn9UJZAq6V1GNthY,304390,4,Пожелание,Гаджилав Гаджилаев,2019-08-28,43705,0,Джигиты,7nkgk2AxGGthN1ztR5ijRr,20,9,FR96X1925751
0.74,0.98,7.00,-1.50,0.00,0.20,0.19,0.00,0.33,0.82,114.97,4s7ZsAqqRQdO0N4cWx2zBn,229832,4,Родина моя,Гаджилав Гаджилаев,2019-08-28,43705,0,Родина моя,7nkgk2AxGGthN1ztR5ijRr,1,1,FR96X1921505
0.75,0.92,11.00,-4.52,0.00,0.07,0.06,0.01,0.26,0.95,115.01,4MYmo9duq7NG77c877Rwdz,200516,4,Адлер-Сочи,ARTEM ARTI,2019-08-26,43703,0,Адлер-Сочи,5Ek4k01A2XfrOz67u6AMpM,1,1,FR59R1922179
0.68,0.89,9.00,-3.24,0.00,0.07,0.03,0.00,0.07,0.94,121.96,777MuJj9SOxN9NpvcI2rwI,203443,4,Моя родная,Загир Сатыров,2019-08-23,43700,0,Моя родная,1lL2wkbaaSAmxB2yhYmqlV,1,1,FR96X1916832
0.41,0.97,9.00,-0.36,0.00,0.44,0.07,0.00,0.16,0.72,199.92,6RKVDlFQifGqGByBXK6ccF,180036,4,Кавказ,Сулейман Хачиров,2019-08-22,43699,0,Я в огне,7jGcxxtc2xVAo224O4rbLg,8,1,FR96X1916824
0.86,0.75,11.00,-2.66,0.00,0.03,0.67,0.00,0.36,0.87,109.99,7FxpKI3u6e1bMhdsTOZRpb,198000,3,Струны души,Артур Текеев,2019-08-20,43697,11,Струны души,5TMkkwdJoBvtcv1VAYEwlr,1,1,FR96X1916835
0.63,0.91,9.00,-7.55,0.00,0.03,0.00,0.00,0.12,0.96,129.99,23vidW4R9VLnIgczl5HGQZ,258528,4,Двое,Азамат Цавкилов,2019-08-16,43693,0,Двое,2U816rMP6HbF9XWNz0Lh9i,1,1,FR96X1908287
0.61,0.99,7.00,-1.67,0.00,0.31,0.21,0.00,0.06,0.78,122.93,0tE8XjKRFy7YuJqF60dqH8,265366,4,Махачкала,Замир,2019-08-14,43691,0,Махачкала,2DZLrK32FKyU6y8LVOLbHB,1,1,FR96X1908297
0.68,0.64,3.00,-7.67,0.00,0.08,0.33,0.00,0.13,0.56,82.98,6xv5DXCOyhTrhtO98UlH9G,226015,4,Любимая моя,Dill,2019-08-12,43689,0,Любимая моя,5YvUtfbogHRU2QRbAmZ2Nd,1,1,QM6P41998310
0.66,0.96,10.00,-3.97,0.00,0.05,0.61,0.00,0.11,0.79,95.00,5jBSoebNT9IpN6RYtFnS8I,188211,4,На Бали,Султан-Ураган,2019-08-09,43686,15,На Бали,6CbqzviZ9Iw6gwzOxFVLvG,1,1,FR59R1997319
0.78,0.90,2.00,-4.23,0.00,0.05,0.03,0.00,0.32,0.73,119.98,6XUN5NlG6HgETdSuzMQdw8,232500,4,Откуда ты взялась,Азамат Цавкилов,2019-08-01,43678,2,Откуда ты взялась,2U816rMP6HbF9XWNz0Lh9i,1,1,FR59R1990071
0.77,0.85,5.00,-7.08,0.00,0.11,0.11,0.00,0.07,0.90,96.98,42IKocfFpaFK1alg3U7emW,189128,4,На берегу,Разные исполнители,2019-07-26,43672,10,Кавказский сборник 2019,0LyfQWJT6nXafLPZqxe9Of,31,31,AEA0Q1974742
0.87,0.57,8.00,-12.39,0.00,0.05,0.52,0.00,0.14,0.86,139.96,2g8rqtOlgSfX0nXIjSaice,197880,4,Дай мне место в своём сердце,Разные исполнители,2019-07-26,43672,9,Кавказский сборник 2019,0LyfQWJT6nXafLPZqxe9Of,31,29,AEA0Q1974740
0.80,0.48,2.00,-13.43,0.00,0.08,0.08,0.79,0.10,0.58,120.01,6lqpqKSD3kIXVkUgoBJjr2,200072,4,Девочка моя,RUSTAM & LIFE ELEMENTS,2019-07-25,43671,0,Девочка моя,7bf6QOlqlNfW1Gj7CJyuzW,1,1,FR59R1976184
0.72,0.90,7.00,-4.93,0.00,0.08,0.01,0.00,0.14,0.61,117.97,0DDcFEulGhettyuea3alTi,243932,3,Что же делать я не знаю,Камета Садулаева,2019-07-25,43671,0,Мерза са,36LY2T1wFB3dNbaKlvjYhI,12,6,AEA0Q1924892
0.79,0.81,5.00,-7.42,0.00,0.10,0.01,0.04,0.07,0.54,117.96,79kUDhv1iivasGTHbAndWJ,246440,3,Мерза са,Камета Садулаева,2019-07-25,43671,0,Мерза са,36LY2T1wFB3dNbaKlvjYhI,12,1,AEA0Q1924887
0.62,0.95,6.00,-6.23,0.00,0.20,0.00,0.00,0.27,0.84,123.10,1uUIQGk888bSixUXKk2iM4,234763,4,Даймохк,Камета Садулаева,2019-07-25,43671,0,Мерза са,36LY2T1wFB3dNbaKlvjYhI,12,8,AEA0Q1924894
0.77,0.89,0.00,-4.89,0.00,0.03,0.47,0.00,0.40,0.97,112.01,3Gp4qo8Ig9trZz5jUeKRpL,284064,4,"Карты, нарды, домино",Карен Арутюнян,2019-07-25,43671,0,"Карты, нарды, домино",4snk8FMHrb26xn1jci2PA1,1,1,FR59R1974127
0.83,0.65,4.00,-13.69,0.00,0.06,0.06,0.02,0.04,0.97,128.03,6tJWxbaWcyR55oVV4AkH4m,246988,4,Цыган,Зурида Гашокова,2019-07-24,43670,0,Цыган,7GI7KTj6lfDB3UFfOYfzgm,1,1,FR59R1974125
0.71,0.81,11.00,-7.48,0.00,0.28,0.11,0.00,0.22,0.38,156.02,5CzDJCMYpQqrPJFPWquecx,178913,4,Я верю в удачу,Кристина Есаян,2019-07-23,43669,2,"Цени, что у тебя есть",5Rjf2bAVVfM8P8Zc9MITEm,5,3,FR59R1974121
0.76,0.49,7.00,-7.95,1.00,0.06,0.04,0.00,0.11,0.52,133.99,1mWdYC3VtRrm1w5D1rMzv9,240039,4,Обида,Кристина Есаян,2019-07-23,43669,4,"Цени, что у тебя есть",5Rjf2bAVVfM8P8Zc9MITEm,5,2,FR59R1974120
0.71,0.63,6.00,-6.09,1.00,0.03,0.36,0.00,0.09,0.14,123.99,07AEs8gTkydVl4BSXhkCgA,228545,4,Не ценил,Кристина Есаян,2019-07-23,43669,1,"Цени, что у тебя есть",5Rjf2bAVVfM8P8Zc9MITEm,5,4,FR59R1974122
0.70,0.93,8.00,-4.90,0.00,0.07,0.45,0.00,0.33,0.72,100.01,5tDy5b1ceIobpWmEJuAPpL,220108,4,Зачем я полюбил,Казбек и Алибек Хубиевы,2019-07-22,43668,0,Зачем я полюбил,2lHSxKpMl7tvERFBA4ech5,1,1,FR59R1972067
0.53,0.96,5.00,-2.28,0.00,0.05,0.24,0.00,0.25,0.94,187.50,3iIHFyc7NBHBuCscU5gWov,215040,3,Мой Аварец (Берцинав),Зайнаб Махаева,2019-07-21,43667,1,Так звучит душа,6CXqhZa9OJluRDvTOxJrls,14,4,QM6P41961153
0.71,0.90,6.00,-2.35,0.00,0.11,0.40,0.00,0.11,0.91,117.00,4tAJf9EryGx5b1Ri51ZyjX,181538,4,"Птицам небо, а землю бродягам",Ислам Итляшев,2019-07-18,43664,20,"Птицам небо, а землю бродягам",10wTWA8McVIsmD0IRxYgoC,1,1,FR59R1983078
0.30,0.84,9.00,-0.70,0.00,0.04,0.34,0.00,0.63,0.52,133.51,6uAsGwjYvwInYsS6KJl6a6,222090,4,Чужая,Казим Шидаков,2019-07-17,43663,0,Чужая,4LTWqJLQ3FNDiojHmULGNn,1,1,FR59R1966559
0.71,0.90,1.00,-7.09,1.00,0.05,0.21,0.00,0.37,0.76,104.99,2UuYhhQD2OpCk7gdowCs3T,156656,4,Где ты,Шамиль Кашешов,2019-07-12,43658,3,Где ты,5Cf8wc0BieFpCUdrY1eHrE,1,1,FR59R1922182
0.81,0.77,9.00,-8.20,0.00,0.07,0.04,0.63,0.08,0.97,116.66,2xOMOJAnqhKQQ5Ho5bLv0w,179919,4,Шел ялле кхетар ду цхьана,Разные исполнители,2019-07-07,43653,0,Чеченские песни,0LyfQWJT6nXafLPZqxe9Of,28,1,AEA0Q1910957
0.79,0.82,0.00,-5.79,0.00,0.05,0.35,0.00,0.07,0.97,120.01,37AvThwvFzUMjTOXuAb493,152386,4,Суна к1ордина,Мадина Юсупова,2019-07-07,43653,0,Коллекция песен 2019,78hzjjQVyWJyC7eQvaXOQV,39,27,AEA0Q1910901
0.65,0.92,9.00,-4.18,0.00,0.04,0.00,0.00,0.32,0.88,120.03,7C4fPNVju12lcWjMD1eAe1,236553,4,Волахьа,Рашана Алиева,2019-07-07,43653,5,Беной лам,6z9WJd4kxbyjqkH4c6DfKw,12,11,AEA0Q1911291
0.80,0.81,10.00,-5.73,0.00,0.18,0.03,0.00,0.16,0.85,100.08,5DId5HnbnJg75DgL3kSjhl,203103,4,Восточная,Рашана Алиева,2019-07-07,43653,0,Беной лам,6z9WJd4kxbyjqkH4c6DfKw,12,4,AEA0Q1911284
0.66,0.85,9.00,-6.86,0.00,0.06,0.14,0.00,0.33,0.69,122.08,2GMeyzknmP7GAZnYzVUKrE,282045,4,Хьоме везар,Рашана Алиева,2019-07-07,43653,0,Беной лам,6z9WJd4kxbyjqkH4c6DfKw,12,6,AEA0Q1911286
0.61,0.57,10.00,-5.06,0.00,0.03,0.36,0.00,0.30,0.40,117.94,3K08wYEn9HOstiY223vwFD,332042,4,Хамзат,Увайс Шарипов,2019-07-07,43653,0,Г1оьрдала,0PoA7wrrRy1q95VYnZlrWz,14,1,AEA0Q1910943
0.64,0.98,5.00,-1.60,0.00,0.17,0.41,0.00,0.37,0.62,87.94,0Wz0M8nvBZ6ZqV48ZFuRrL,278897,4,Нохчийчоь,Разные исполнители,2019-07-07,43653,0,Беноевская весна,0LyfQWJT6nXafLPZqxe9Of,6,1,AEA0Q1912277
0.81,0.61,9.00,-16.65,0.00,0.07,0.07,0.00,0.08,0.90,124.99,17DcvdTpkc2VxZYlyfIwpb,269180,4,"Ты говоришь, что я пьян",Рустам Абреков,2019-07-06,43652,2,"Ты говоришь, что я пьян",4TQYyvNsnn1o0ENVM4StW1,14,1,AEA0Q1911093
0.69,0.65,6.00,-10.23,1.00,0.06,0.31,0.00,0.29,0.40,115.00,4pG1faVzJ4m2c7vGDeImn2,222121,4,Ай,ЭGO,2019-07-02,43648,34,Ай,6z0RqMOlBhJ1zgjcN5bw6d,1,1,FR59R1950564
0.70,0.86,10.00,-5.95,0.00,0.07,0.13,0.00,0.04,0.90,98.02,4m54ejXCa9mp8i8IEBJl1a,221667,4,Радуйтесь,Георгий Газиян,2019-07-01,43647,4,Радуйтесь,40tKOvNHSfxO9SVFIjSF7U,1,1,FR59R1945918
0.80,0.67,7.00,-5.03,0.00,0.05,0.12,0.00,0.13,0.51,122.00,7qxKL86p4xZUE8n7u6t0Vh,226783,4,Со ехар ю,Разные исполнители,2019-06-28,43644,0,Чеченские песни 2019,0LyfQWJT6nXafLPZqxe9Of,13,2,GBLPF0233861
0.69,0.99,8.00,-1.12,1.00,0.22,0.10,0.00,0.28,0.57,121.96,2VcQub8D9OeR8bK8FAa4f3,230164,4,Королева,Ажай Абакарова,2019-06-26,43642,0,Королева,4KJnzy37eoNJ3mYkvcOtHh,1,1,FR59R1938305
0.58,0.44,11.00,-9.07,0.00,0.03,0.55,0.00,0.11,0.17,137.96,0mBTZ4LYF0he5Y7BAQcnHa,246124,4,Память,Астемир Апанасов,2019-06-26,43642,7,Память,2UxPhPElyhckjpncZ8YgRy,1,1,QZGLM1933838
0.69,0.98,7.00,-3.05,0.00,0.21,0.44,0.00,0.21,0.75,109.95,7o59xuA8z06x8GTjf0HBo2,296256,4,Без тебя схожу с ума,Тамара Адамова,2019-06-25,43641,2,Без тебя схожу с ума,7joL5GVzAzRxE3Pz2DHDes,18,1,AEA0Q1904860
0.62,0.73,6.00,-7.58,0.00,0.09,0.31,0.85,0.37,0.83,112.00,1V6P6tNzZphJtx7O0oecIs,299024,4,Гена ели хьо,Разные исполнители,2019-06-22,43638,0,Лучшие чеченские 2019,0LyfQWJT6nXafLPZqxe9Of,17,1,AEA0D1999675
0.80,0.94,11.00,-3.34,0.00,0.04,0.14,0.07,0.08,0.86,121.03,6SXYTOP7mdW3fU5V9A5seh,218227,4,"Слышишь ты, Лейла",Гр. Рани,2019-06-22,43638,2,Мадины карие глаза,2b5viVWwpEnj4SPu0jyHek,17,13,AEA0D1999404
0.72,0.83,10.00,-7.15,0.00,0.20,0.02,0.01,0.33,0.84,117.02,1dxJcYsRWhGrjm0NNyIsWD,313992,4,Мадины карие глаза,Гр. Рани,2019-06-22,43638,1,Мадины карие глаза,2b5viVWwpEnj4SPu0jyHek,17,12,AEA0D1999403
0.52,0.95,5.00,-2.18,0.00,0.06,0.66,0.00,0.07,0.65,174.04,0efhZuCNiFuOOOjclKrzm1,232478,4,Къонаха,Разные исполнители,2019-06-22,43638,0,Лучшие чеченские 2019,0LyfQWJT6nXafLPZqxe9Of,17,15,AEA0D1999689
0.73,0.62,7.00,-4.02,0.00,0.29,0.10,0.00,0.69,0.68,199.85,7CcVcU3E5eSnjb4YE26QUr,240039,4,Сладкий сон,Ислам Джамбеков,2019-06-21,43637,0,Сладкий сон,0c4I0hrIthD1hJnfbczvxX,1,1,FR59R1927649
0.72,0.96,10.00,-3.48,0.00,0.29,0.22,0.00,0.11,0.76,112.94,6PRe4z785z8FywgZWWnXlk,248473,4,Потому что я влюблён,Шамиль Кашешов,2019-06-21,43637,12,Потому что я влюблён,5Cf8wc0BieFpCUdrY1eHrE,1,1,FR59R1922190
0.44,0.83,4.00,-0.95,0.00,0.11,0.80,0.29,0.32,0.95,199.17,6OGtekpZNWOgmri8dXrpip,186907,4,Я волк,Юсуп Алиев,2019-06-16,43632,0,Нана,1yquVs3dxAV0i6VAM9WrxA,6,6,AEA0D1995606
0.39,0.76,4.00,-2.80,0.00,0.04,0.82,0.00,0.13,0.35,183.06,2IKnYE4DY2TgPPQgOzfBo1,230270,3,Нана,Юсуп Алиев,2019-06-16,43632,2,Нана,1yquVs3dxAV0i6VAM9WrxA,6,1,AEA0D1995601
0.30,0.66,10.00,-10.46,0.00,0.15,0.45,0.00,0.73,0.50,92.50,02xFm5llLgamnAnjxPZPiW,141061,4,Беги по небу,Юсуп Алиев,2019-06-16,43632,0,Нана,1yquVs3dxAV0i6VAM9WrxA,6,5,AEA0D1995605
0.47,0.98,10.00,-2.84,0.00,0.36,0.02,0.00,0.04,0.76,150.09,69M2lVQs93bta0geyjylto,225400,3,Мой горец,Кристина,2019-06-14,43630,2,Белый цветок,3LUMBFJxOuegaGLLtbOTOc,4,2,QM6N21937754
0.68,0.97,11.00,-2.60,1.00,0.09,0.08,0.00,0.24,0.80,101.20,60vwptRwPF8HsvWDY4iGVS,209293,3,Белый цветок,Кристина,2019-06-14,43630,0,Белый цветок,3LUMBFJxOuegaGLLtbOTOc,4,1,QM6N21937755
0.74,0.98,7.00,-2.96,1.00,0.24,0.11,0.00,0.40,0.75,112.98,5jKfHUIJRxLjp3iou1eHgp,228053,4,Рамзан,Кристина,2019-06-14,43630,0,Белый цветок,3LUMBFJxOuegaGLLtbOTOc,4,3,QM6MZ1938438
0.59,0.87,9.00,-4.04,0.00,0.09,0.37,0.00,0.09,0.17,124.98,47DcbVwsShKFNFpDOxy3K3,249574,4,Устали - Оригинал,Мурад Байкаев,2019-06-14,43630,0,Устали,0wGOiai52snHglJt8NZRrT,12,1,RUA3R1917257
0.34,0.74,2.00,-2.84,0.00,0.04,0.68,0.00,0.11,0.21,79.58,2grZMfP6mGMBEk3kqpCjMJ,255100,4,Я пою для тебя - Оригинал,Мурад Байкаев,2019-06-14,43630,2,Устали,0wGOiai52snHglJt8NZRrT,12,6,RUA3R1917273
0.81,0.92,5.00,-3.64,0.00,0.04,0.04,0.00,0.15,0.89,109.99,6GJuU4ndN9RXbuZzJv0Uf7,204545,4,Адыгея - край раздольный,Руслан Кайтмесов,2019-06-14,43630,2,Адыгея - край раздольный,1vPWgN1hg3qqSF9irBO1Np,1,1,FR59R1909897
0.78,0.86,2.00,-3.41,0.00,0.07,0.38,0.05,0.05,0.76,120.03,2r97jBx7a5KbjuVxYdmTCF,234398,4,Кирара дог лаза дуьлу,Асхаб Вахарагов,2019-06-07,43623,0,Чеченские песни,3lzkOV3vrUdwShQHyNYJig,29,10,GBLPF0231487
0.82,0.63,2.00,-4.28,0.00,0.08,0.55,0.00,0.55,0.61,97.99,7qYYLdbebecwh6FBvJ9CBI,145751,4,Безам буьйцуш хьоьга ма лили,Асхаб Вахарагов,2019-06-07,43623,1,Чеченские песни,3lzkOV3vrUdwShQHyNYJig,29,3,GBLPF0231480
0.82,0.63,8.00,-6.46,0.00,0.09,0.53,0.00,0.07,0.83,172.00,6BB0Zks9OTuTXltU1VglP0,220640,4,Моя хулиганка,ЭGO,2019-06-06,43622,43,Моя хулиганка,6z0RqMOlBhJ1zgjcN5bw6d,1,1,FR59R1902538
0.43,0.64,7.00,-10.88,0.00,0.04,0.78,0.00,0.16,0.70,179.97,0KHC6xxEm2yMnuqZFKMFzT,313496,4,Сыграй мне брат,Турпал Джабраилов,2019-05-27,43612,3,Сыграй мне брат,596zWi5TZWv9hIwhxwBq8R,23,1,GBLPF0229967
0.72,0.95,7.00,-3.92,0.00,0.13,0.24,0.00,0.07,0.88,114.99,61DWXCUy0gZlTY5qMZTatV,223826,4,По ту сторону моря,Муаед Унежев,2019-05-23,43608,0,По ту сторону моря,0Rb7VUomgmR2sEnEaY9H3Q,1,1,FR2X41982414
0.74,0.91,1.00,-3.59,0.00,0.10,0.11,0.00,0.67,0.87,111.99,2erVdAgLeAouGiQZE9nTe6,199340,4,Танцы под луной,Ренат Патахов,2019-05-21,43606,0,Танцы под луной,2jApbK8ZZ1DURyUXqJ8C3S,1,1,FR2X41982421
0.73,0.99,9.00,-4.50,0.00,0.14,0.28,0.00,0.19,0.76,110.00,1CgPvDtEztpvjTEdKMQip8,314880,4,Гена вели хьо,Асет Халидова,2019-05-16,43601,4,Гена вели хьо,323xSAwLovccLvUT2VKduc,1,1,GBLPF0138682
0.64,0.95,0.00,-8.47,0.00,0.06,0.02,0.90,0.06,0.96,115.00,1oSqYJgIs5OTyQfZZQaRah,202430,4,Красивый парень,Макка Сагаипова,2019-05-14,43599,12,"Макка Сагаипова, Часть 1",1uOHAz5zfWQRGvn8SsjyPl,15,11,RUA1D1910803
