danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,duration_ms,time_signature,track_name,artist_name,release_date,release_date_num,track_popularity,album_name,artist_id,total_tracks,track_number,tracks_external_id
0.74,0.75,9.00,-7.83,0.00,0.10,0.29,0.00,0.32,0.87,90.03,0lhLYM6orAJkRBztv060LR,197217,4,Я за тебя воюю,Магамет Дзыбов,2013-09-22,41539,7,Черкес,2E8f68sEr0xCkFTAKGFCIf,18,5,FR6V81971611
0.71,0.90,1.00,-4.94,1.00,0.05,0.00,0.25,0.35,0.72,130.01,2yWGaioSBiMeQ53sspG9Lv,205915,4,Салам алейкум - Remix,Разные исполнители,2013-09-20,41537,0,"Caucasian Hit, Vol. 5",0LyfQWJT6nXafLPZqxe9Of,25,4,FR6V81985267
0.46,0.86,6.00,-6.82,0.00,0.05,0.02,0.00,0.21,0.70,107.72,615FnDDl7pWlV1vOS7qms3,270123,4,Голубка,Братья Шахунц,2013-09-11,41528,19,Голубка,1KZoAVBJGMOYwfqhuYIANS,24,8,FR6V81977479
0.74,0.74,9.00,-7.56,0.00,0.03,0.19,0.00,0.08,0.63,131.99,2xpML0wT3PpE7pqU2Jri95,264045,4,Жених и невеста,Братья Шахунц,2013-09-11,41528,10,Голубка,1KZoAVBJGMOYwfqhuYIANS,24,3,FR6V81977474
0.59,0.52,0.00,-10.01,0.00,0.05,0.35,0.00,0.09,0.37,177.98,7HXwuBRKFHt13p1Yu7vZv4,250837,3,Судьба,Братья Шахунц,2013-09-11,41528,6,Голубка,1KZoAVBJGMOYwfqhuYIANS,24,12,FR6V81977483
0.72,0.76,6.00,-5.14,0.00,0.17,0.04,0.00,0.06,0.81,168.01,22VpLGuqVCIjml8JtCYBx9,198950,4,Сердце пойми,Разные исполнители,2013-09-04,41521,0,"Лучшая лирика Кавказа, Ч. 3",0LyfQWJT6nXafLPZqxe9Of,24,19,FR6V81954433
0.87,0.71,7.00,-7.79,1.00,0.15,0.04,0.81,0.07,0.93,129.96,74DJEfR1mHk5Wa64SXemfg,197939,4,Lezginka,Аслан Тлебзу,2013-05-02,41396,19,ETHNO-Symphony,5cGxn5mQM1wdid76oP5bjf,16,3,FR6V81947175
0.72,0.76,2.00,-8.16,0.00,0.03,0.67,0.00,0.61,0.90,142.01,5rBLEPKSuC9rTACG9TidDy,203424,4,Задыхаюсь - 2013,Анжелика Начесова,2013-04-22,41386,8,Задыхаюсь (2013),7hE9HI7twrdvLDhgT1MELx,1,1,RUA591200355
0.41,0.39,9.00,-12.71,0.00,0.04,0.68,0.00,0.19,0.38,109.57,7LCSrjMStJYFqQYimHA7A8,234057,4,Только у любимой,Daniko,2013-02-20,41325,4,Ностальгия,4KBFA8bU75R99g6Iwlw66t,3,2,USWMA9027997
0.68,0.94,4.00,-4.81,0.00,0.04,0.00,0.93,0.16,0.76,119.98,4mzPR39yUFynof7gE8lfVM,194375,4,Лезгинка,Разные исполнители,2013-01-01,41275,3,"1000% Лезгинки Кавказа, Ч. 2",0LyfQWJT6nXafLPZqxe9Of,23,5,FR6V81999299
